30, Private, 77266, HS-grad, 9, Divorced, Transport-moving, Not-in-family, White, Male, 0, 0, 55, United-States, <=50K
26, Private, 191648, Assoc-acdm, 12, Never-married, Machine-op-inspct, Other-relative, White, Female, 0, 0, 15, United-States, <=50K
81, ?, 120478, Assoc-voc, 11, Divorced, ?, Unmarried, White, Female, 0, 0, 1, ?, <=50K
32, Private, 211349, 10th, 6, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
22, Private, 203715, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 40, United-States, <=50K
31, Private, 292592, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, 0, 0, 40, United-States, <=50K
29, Private, 125976, HS-grad, 9, Separated, Sales, Unmarried, White, Female, 0, 0, 35, United-States, <=50K
35, ?, 320084, Bachelors, 13, Married-civ-spouse, ?, Wife, White, Female, 0, 0, 55, United-States, >50K
30, ?, 33811, Bachelors, 13, Never-married, ?, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 99, United-States, <=50K
34, Private, 204461, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, >50K
54, Private, 337992, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male, 0, 0, 50, Japan, >50K
37, Private, 179137, Some-college, 10, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 39, United-States, <=50K
22, Private, 325033, 12th, 8, Never-married, Protective-serv, Own-child, Black, Male, 0, 0, 35, United-States, <=50K
34, Private, 160216, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 55, United-States, >50K
30, Private, 345898, HS-grad, 9, Never-married, Craft-repair, Not-in-family, Black, Male, 0, 0, 46, United-States, <=50K
38, Private, 139180, Bachelors, 13, Divorced, Prof-specialty, Unmarried, Black, Female, 15020, 0, 45, United-States, >50K
71, ?, 287372, Doctorate, 16, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 10, United-States, >50K
45, State-gov, 252208, HS-grad, 9, Separated, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K
41, ?, 202822, HS-grad, 9, Separated, ?, Not-in-family, Black, Female, 0, 0, 32, United-States, <=50K
72, ?, 129912, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 25, United-States, <=50K
45, Local-gov, 119199, Assoc-acdm, 12, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 48, United-States, <=50K
31, Private, 199655, Masters, 14, Divorced, Other-service, Not-in-family, Other, Female, 0, 0, 30, United-States, <=50K
39, Local-gov, 111499, Assoc-acdm, 12, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 20, United-States, >50K
37, Private, 198216, Assoc-acdm, 12, Divorced, Tech-support, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
43, Private, 260761, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, Mexico, <=50K
65, Self-emp-not-inc, 99359, Prof-school, 15, Never-married, Prof-specialty, Not-in-family, White, Male, 1086, 0, 60, United-States, <=50K
43, State-gov, 255835, Some-college, 10, Divorced, Adm-clerical, Other-relative, White, Female, 0, 0, 40, United-States, <=50K
43, Self-emp-not-inc, 27242, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, <=50K
32, Private, 34066, 10th, 6, Married-civ-spouse, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Male, 0, 0, 40, United-States, <=50K
30, Self-emp-not-inc, 261943, 11th, 7, Married-spouse-absent, Craft-repair, Not-in-family, White, Male, 0, 0, 30, Honduras, <=50K
